??  Dicionário Santome/Português — Araujo & Hagemeijer (2013)  ·  Extraído automaticamente,,,,,,,,
"Fonte: Dicionário livre Santome/Português · Gabriel Antunes de Araujo (USP/CNPq) & Tjerk Hagemeijer (U. Lisboa) · Hedra, 2013 · ~8500 entradas",,,,,,,,
Palavra Santome,Fonética,Categoria,Variante,Tradução PT,Frase (Santome),Frase (Português),Fonte,URL Áudio
bêbidu,[be?bidu],Adjetivo,Forro (Santome),Bêbado. 2.Bebido.3.Mo- benza[b???za](v.)Beijar.,,,Araujo & Hagemeijer (2013),
lhado. benzê,[b??ze],Verbo,Forro (Santome),Abençoar. 2.Benzer.,,,Araujo & Hagemeijer (2013),
bêbidu-awa,[be?bidu?awa],Adjetivo,Forro (Santome),Envelhecido. benzementu[b?ze?m?tu](n.)Inauguração.,,,Araujo & Hagemeijer (2013),
bêdêsê,[bede?se],Substantivo,Forro (Santome),Obediência. besupla[?b?supla](n.)Véspera.,,,Araujo & Hagemeijer (2013),
bêdêxidu,[bede??idu],Adjetivo,Forro (Santome),Obedecido. 2.Obedi- teligente. 4.Sábio.,,,Araujo & Hagemeijer (2013),
ente. bêtôdô,[be?todo],Substantivo,Forro (Santome),Bêtôdô. Personagemsábiade,,,Araujo & Hagemeijer (2013),
bêdô,[be?do],Substantivo,Forro (Santome),Aquelequevê. 2.Bêdô.Almofa- narrativastradicionais.,,,Araujo & Hagemeijer (2013),
betumi,[b??tumi],Substantivo,Forro (Santome),Betume.,,,Araujo & Hagemeijer (2013),
b in e t g e a rn,[o ?b s. ?ga],Substantivo,Forro (Santome),Barriga. 2.Estômago.3.Órgãos c b a ê r t a w d a o [ . be?twa](v.)1.Arriscar. 2.Melindrar. 3.Pro-,,,Araujo & Hagemeijer (2013),
bega-kôlê,[?b?gako?le],Substantivo,Forro (Santome),Diarréia. bi[?bi](prep. v.) Paracá. Sangêkôlêbi. Asenhora,Paracá,Sangêkôlêbi.,Araujo & Hagemeijer (2013),
bega-lanka,[?b?gal???ka],Substantivo,Forro (Santome),Aborto. correuparacá.,,,Araujo & Hagemeijer (2013),
bega-môvê,[?b?gamo?ve],Substantivo,Forro (Santome),Aborto. bi[?bi](v.)Vir.,,,Araujo & Hagemeijer (2013),
permumoblongifolium. bibilhoteka,[bibi???t?ka],Substantivo,Forro (Santome),Biblioteca.,,,Araujo & Hagemeijer (2013),
bega-pampôlê,[b??gap???pole],Substantivo,Forro (Santome),Esquistossomose. bifi[?bifi](n.)Bife.,,,Araujo & Hagemeijer (2013),
bega-txintxin,[b??gat???t??],Substantivo,Forro (Santome),Barrigão. bifô[?bifo](expr.)1.Sairde. 2.Virde.,,,Araujo & Hagemeijer (2013),
beku,[?b?ku],Substantivo,Forro (Santome),Beco. bigodji[bi?g?d?i](n.)Bigode.,,,Araujo & Hagemeijer (2013),
bela,[?b?la],Substantivo,Forro (Santome),Beira. bila[bi?la](n.)Túmulopagão.Cf.mbila.,,,Araujo & Hagemeijer (2013),
