Lung'Ie (Principense),Portugues,Tipo,Uso IA
N fo Baji.,Eu vim do Brasil.,Exemplo gramatical,Tradução
Txi tê kaxi.,Você tem uma casa.,Exemplo gramatical,Tradução
N vê li.,Eu o/a vi.,Exemplo gramatical,Tradução
"Ami, n fo Baji.",Eu vim do Brasil.,Exemplo gramatical,Tradução
"Atxi, txi fo Ie.",Você veio do Príncipe.,Exemplo gramatical,Tradução
"Ami biologu, i atxi?","Eu sou bióloga, e você?",Exemplo gramatical,Tradução
"Ami n biologu, i atxi?","Eu sou bióloga, e você?",Exemplo gramatical,Tradução
"Ami n biologu fa, i atxi?","Eu não sou bióloga, e você?",Exemplo gramatical,Tradução
Kumi txi sa vêvê a?,Onde você mora?,Exemplo gramatical,Tradução
N sa vêvê na Pikan.,Eu moro no Picão.,Exemplo gramatical,Tradução
Kaxi me sa ta na Santantoni.,Minha casa fica em Santo Antônio.,Exemplo gramatical,Tradução
I atxi bê?,E você?,Exemplo gramatical,Tradução
"Mene, i atxi?","Manuel, e você?",Exemplo gramatical,Tradução
"I atxi, kumi txi sa ta a?","E você, onde você mora?",Exemplo gramatical,Tradução
Ê vê txi.,Ele viu você.,Exemplo gramatical,Tradução
Txi vê li.,Você viu ele.,Exemplo gramatical,Tradução
Sabiina vê li.,Sabrina viu ele.,Exemplo gramatical,Tradução
Ê vê Sabiina.,Ele viu a Sabrina.,Exemplo gramatical,Tradução
Txi sêbê isê kwêsa fa a?,Você não sabe o que é isto?,Exemplo gramatical,Tradução
Txi mêsê li a?,Você o quer?,Exemplo gramatical,Tradução
N ka po fêzê vintxi doba da atxi.,Eu posso fazer por vinte dobras para você.,Exemplo gramatical,Tradução
N mêsê li fa.,Eu não o quero.,Exemplo gramatical,Tradução
N mêsê urumu fô!,"Eu não quero safu, não!",Exemplo gramatical,Tradução
Txi mêsê urumu fa a?,Você não quer safu?,Exemplo gramatical,Tradução
Isê kwêsa?,O que é isso?,Exemplo gramatical,Tradução
Kwêsa txi mêsê?,O que você quer?,Exemplo gramatical,Tradução
Kali txi mêsê?,Qual você quer?,Exemplo gramatical,Tradução
Txi mêsê kali?,Você quer qual?,Exemplo gramatical,Tradução
Kali inhemi txi mêsê?,Qual inhame você quer?,Exemplo gramatical,Tradução
Txi mêsê kali inhemi?,Você quer qual inhame?,Exemplo gramatical,Tradução
Modi a?,Como (vai)?,Exemplo gramatical,Tradução
Modi nomi tê a?,Seu nome é qual?,Exemplo gramatical,Tradução
Nomi tê modi?,Qual é seu nome?,Exemplo gramatical,Tradução
Isê kantu a?,Quanto é isso?,Exemplo gramatical,Tradução
Kantu isê a?,Quanto é isso?,Exemplo gramatical,Tradução
Urumu kantu a?,Quanto é o safu?,Exemplo gramatical,Tradução
Kantu doba txi tê a?,Quantas dobras você tem?,Exemplo gramatical,Tradução
Txi tê kantu doba a?,Você tem quantas dobras?,Exemplo gramatical,Tradução
Urumu sê kantu a?,Quanto é esse safu?,Exemplo gramatical,Tradução
Sapusapu sê karu ô!,Esta graviola está cara!,Exemplo gramatical,Tradução
Kusê sapusapu a?,Esta coisa é uma graviola?,Exemplo gramatical,Tradução
Txi mêsê kusê a?,Você quer esta coisa?,Exemplo gramatical,Tradução
Isê fuuta ?a.,Isso é uma fruta-pão.,Exemplo gramatical,Tradução
Ningê ?a vê li.,Alguém viu ele.,Exemplo gramatical,Tradução
N mêsê urumu ki maakita.,Eu quero safu e malagueta.,Exemplo gramatical,Tradução
N kume urumu ki sapusapu ki fuuta.,"Eu comi safu, graviola e fruta-pão.",Exemplo gramatical,Tradução
N mêsê urumu.,Eu quero safu.,Exemplo gramatical,Tradução
N sêbê za.,Eu já sei.,Exemplo gramatical,Tradução
N ka po fa.,Eu não posso.,Exemplo gramatical,Tradução
N xiivi na loza.,Eu trabalhei na loja.,Exemplo gramatical,Tradução
N vê txi.,Eu vi você.,Exemplo gramatical,Tradução
No tama banhu na umwe.,Tomamos banho no mar.,Exemplo gramatical,Tradução
N we paa ki migu me.,Fui à praia com meu amigo.,Exemplo gramatical,Tradução
N kume minu kwa kwa ki Zwan.,Comi umas coisinhas com o João.,Exemplo gramatical,Tradução
"Baya da mi vogyan mutu, pidi ine Afika baya ki pasa.","Dançar me dá muita vergonha, porque os africanos dançam muito bem.",Exemplo gramatical,Tradução
N zunta kwa tudu pe.,Eu juntei todas as coisas.,Exemplo gramatical,Tradução
No zunta we posan.,Nós fomos juntos para a cidade.,Exemplo gramatical,Tradução
No zunta fêzê bôlô.,Nós fizemos um bolo juntos.,Exemplo gramatical,Tradução
Txi mêsê xina?,Você quer ensinar/aprender?,Exemplo gramatical,Tradução
N xina lung’Ie.,Eu ensinei/aprendi lung’Ie.,Exemplo gramatical,Tradução
Txi xina lung’Ie.,Você ensinou/aprendeu lung’Ie.,Exemplo gramatical,Tradução
Ami mesu ka xina txi ô.,Eu mesmo te ensinarei!,Exemplo gramatical,Tradução
Ami ka xina ku atxi ô.,Eu aprenderei com você!,Exemplo gramatical,Tradução
N we paa.,Fui à praia.,Exemplo gramatical,Tradução
No we posan.,Fomos à cidade.,Exemplo gramatical,Tradução
N we kaxi.,Fui para casa.,Exemplo gramatical,Tradução
N maxi sêbê baya uvungu afinaku fa.,Eu ainda não sei dançar danças africanas.,Exemplo gramatical,Tradução
N maxi ka po xina txi fa.,Eu ainda não posso te ensinar.,Exemplo gramatical,Tradução
Kyê! Fala fa!,Nossa! Não diga!,Exemplo gramatical,Tradução
Kyê minu! No baya mutu.,"Nossa, menina! Dançamos muito!",Exemplo gramatical,Tradução
No tama minu ivin.,Nós tomamos um pouco de vinho.,Exemplo gramatical,Tradução
Êli ki migu me baya ontxi.,Ela e meu amigo dançaram ontem.,Exemplo gramatical,Tradução
Êli we posan.,Ele foi à cidade.,Exemplo gramatical,Tradução
N tendê ko nho ki êli fala fa.,Eu não entendi nada do que ele falou.,Exemplo gramatical,Tradução
N ka xina fôrô.,Eu ensino/aprendo forro.,Exemplo gramatical,Tradução
N sa xina fôrô fa.,Eu não ensino/aprendo forro.,Exemplo gramatical,Tradução
N mêsê we Ukabu Vêêdê ô Gaban.,Eu quero ir a Cabo Verde ou ao Gabão.,Exemplo gramatical,Tradução
N sêbê fala putugêzê ki lung’Ie ki minu fôrô.,"Eu sei falar português, lung’Ie e um pouco de forro.",Exemplo gramatical,Tradução
N ka podi fala lung’Ie.,Eu sei falar lung’Ie.,Exemplo gramatical,Tradução
N sa podi fala fansêji fa.,Eu não sei falar francês.,Exemplo gramatical,Tradução
Txi ka po xina fansêji xinxan.,Você poderá aprender francês rapidamente.,Exemplo gramatical,Tradução
Txi sa po xina fansêji xinxan fa.,Você não poderá aprender francês rapidamente.,Exemplo gramatical,Tradução
"Xi txi mêsê, n ka po zuda txi.","Se você quiser, eu posso te ajudar.",Exemplo gramatical,Tradução
"N ka po zuda txi, xi txi mêsê.","Eu poderei te ajudar, se você quiser.",Exemplo gramatical,Tradução
"Xi txi xina fansêji, txi ka po we xikola Gaban.","Se você aprender francês, poderá ir estudar no Gabão.",Exemplo gramatical,Tradução
"Txi ka po we xikola Gaban, xi txi xina fansêji.","Você poderá ir estudar no Gabão, se aprender francês.",Exemplo gramatical,Tradução
Ê sa ke da txi tabwe.,Isso vai te dar trabalho.,Exemplo gramatical,Tradução
N we xikola maji n kaba di xina fa.,"Eu fui para a escola, mas eu não aprendi tudo.",Exemplo gramatical,Tradução
Kumê sê ê pa txi kume.,Esta comida é para você comer.,Exemplo gramatical,Tradução
N tê kwa ?a pa n faa txi.,Eu tenho uma coisa para te falar.,Exemplo gramatical,Tradução
N tê ko nho pa fêzê fa.,Eu não tenho nada para fazer.,Exemplo gramatical,Tradução
Txi vê no.,Você nos viu.,Exemplo gramatical,Tradução
Ê xina owo.,Ele ensinou a vocês.,Exemplo gramatical,Tradução
Txi sama ine a?,Você os chamou?,Exemplo gramatical,Tradução
N we paa ki ine.,Eu fui à praia com eles.,Exemplo gramatical,Tradução
N mêsê we uvôdô ki owo.,Eu quero ir à festa com vocês.,Exemplo gramatical,Tradução
Txi ka we paa ki no a?,Você quer ir à praia conosco?,Exemplo gramatical,Tradução
Atxi ki ami.,Eu e você.,Exemplo gramatical,Tradução
Ami ki Zwan.,Eu e o João.,Exemplo gramatical,Tradução
N sêbê txi ka konta ontxi fa.,Eu não sabia que vocês iam se encontrar ontem.,Exemplo gramatical,Tradução
N mêsê pa txi ka fêzê kumê fa.,Eu não queria que você fizesse comida.,Exemplo gramatical,Tradução
Txi ka pudya we uvôdô.,Você poderia ir para a festa.,Exemplo gramatical,Tradução
Zwan fala ya ‘n mêsê we uvôdô ki Sabiina.’,João disse: Eu quero ir para a festa com Sabrina.,Exemplo gramatical,Tradução
N sa ke xi owo fa.,Eu não vou sem vocês.,Exemplo gramatical,Tradução
No sa lala na zuda Dêsu.,Estamos (bem) com a ajuda de Deus.,Exemplo gramatical,Tradução
N xiivi na loza.,Trabalhei na loja.,Exemplo gramatical,Tradução
No fala na atxi.,Falamos sobre você.,Exemplo gramatical,Tradução
Êli we na kaxi me.,Ele foi à minha casa.,Exemplo gramatical,Tradução
N vê minu kêtê na kaxi.,Eu vi a criança pequena na casa.,Exemplo gramatical,Tradução
Txi we fooga kêtê.,Você foi descansar um pouco.,Exemplo gramatical,Tradução
N sa fala lung’Ie kêtê-kêtê.,Eu estou falando lung’Ie pouco a pouco.,Exemplo gramatical,Tradução
Isê karu no.,Este é o nosso carro.,Exemplo gramatical,Tradução
Ê modi kumê no a?,Ela é como a nossa comida?,Exemplo gramatical,Tradução
Kaxi no suzu kotokoto.,Nossa casa está muito suja.,Exemplo gramatical,Tradução
N sa kuxi kumê Baji.,Estou cozinhando comida brasileira.,Exemplo gramatical,Tradução
N sa fêzê ko nho fa.,Não estou fazendo nada.,Exemplo gramatical,Tradução
N tava sa limpa kaxi ki tava sa suzu kotokoto.,Eu estava limpando a casa que estava muitíssimo suja.,Exemplo gramatical,Tradução
"N tava sa limpa kaxi me fa, n tava sa kuxi.","Eu não estava limpando minha casa, estava cozinhando.",Exemplo gramatical,Tradução
Vêmê ki pasa.,É muito vermelho!,Exemplo gramatical,Tradução
Vêmê rarara.,É muito vermelho!,Exemplo gramatical,Tradução
Ine Afika baya ki pasa.,Os africanos dançaram muito.,Exemplo gramatical,Tradução
Wo sê vya gaavi gaavi.,Agora ficou muito bonito.,Exemplo gramatical,Tradução
Mene sa udentu umatu sa vya vya.,Manuel está dentro do mato virando-se.,Exemplo gramatical,Tradução
N fêzê li satadu satadu.,Eu fazia isso de vez em quando.,Exemplo gramatical,Tradução
N we dôtô xinku xinku dya.,Eu vou ao médico de cinco em cinco dias.,Exemplo gramatical,Tradução
N mêsê we uvôdô ki ine.,Eu quero ir à festa com eles.,Exemplo gramatical,Tradução
Txi ka we ku ami a?,Você vai comigo?,Exemplo gramatical,Tradução
N vê li ku atxi,Eu vi ele contigo.,Exemplo gramatical,Tradução
Bamu fêzê bôlô.,Vamos fazer um bolo.,Exemplo gramatical,Tradução
Bamu lêlê txi na kaxi tê.,Vamos te acompanhar a sua casa.,Exemplo gramatical,Tradução
A: Txi ka bêbê ivin a?,Você bebe vinho?,Exemplo gramatical,Tradução
"B: Nhan, n ka bêbê.","Sim, eu bebo.",Exemplo gramatical,Tradução
"N goxta di palapala montxi fa, maji n ka kume li.","Eu não gosto muito de palapala, mas eu como.",Exemplo gramatical,Tradução
Mwin me zo tudu pe ka fêzê palapala da mi.,Minha mãe sempre faz palapala para mim.,Exemplo gramatical,Tradução
N we ki me.,Fui-me embora.,Exemplo gramatical,Tradução
Ê we ki sê.,Ele foi-se embora.,Exemplo gramatical,Tradução
Bômu ki no.,Vamos embora.,Exemplo gramatical,Tradução
Bômu ki no we kume a?,Vamos embora comer?,Exemplo gramatical,Tradução
Ê maxi vika nixi fa.,Ela ainda não veio aqui.,Exemplo gramatical,Tradução
No tama minu ivin na lala.,Nós tomamos vinho lá.,Exemplo gramatical,Tradução
N sa fêzê kumê.,Estou fazendo comida.,Exemplo gramatical,Tradução
N sa fê kumê.,Estou fazendo comida.,Exemplo gramatical,Tradução
No kuda ya kwa ?a da ku atxi.,Nós pensamos que alguma coisa tinha acontecido com você.,Exemplo gramatical,Tradução
N tava sêbê ya Sabiina tê moto u?a.,Eu sabia que a Sabrina tinha uma moto.,Exemplo gramatical,Tradução
"Pô mi, sa da fa",Para mim não vai dar.,Exemplo gramatical,Tradução
"Pô Sabiina, ê we ki sê.","Pela Sabrina, ela iria embora.",Exemplo gramatical,Tradução
"Txi ka po we ki tê, pô mi.","Você pode ir embora, por mim.",Exemplo gramatical,Tradução
"Maji ten wo sê, ê maxi vika nixi fa.","Mas até agora, ela ainda não veio.",Exemplo gramatical,Tradução
Bômu kume ton zo Sabiina ka xiga.,Vamos comer até quando a Sabrina chegar.,Exemplo gramatical,Tradução
Moto sê gaavi bê.,A sua moto também é bonita.,Exemplo gramatical,Tradução
Kumê owo doxi mutu.,A comida de vocês é muito gostosa.,Exemplo gramatical,Tradução
N maxi kume kumê ine fa.,Eu ainda não comi a comida deles.,Exemplo gramatical,Tradução
Naani ki tava ka kuxi.,Era a avó quem cozinhava.,Exemplo gramatical,Tradução
Mwin me tava sa kuxi da mi fa.,Minha mãe não cozinhava para mim.,Exemplo gramatical,Tradução
N tava ka gogo di kumê mwin-gaani.,Eu gostava da comida da avó.,Exemplo gramatical,Tradução
N tava sa gogo di kumê mwin me fa.,Eu não gostava da comida da minha mãe.,Exemplo gramatical,Tradução
"N ka sa riku sônôsônô, n ka kopa ukaru ?a.","Se eu fosse muito rico, compraria um carro.",Exemplo gramatical,Tradução
"Pô mi so, n ka sa Ie sa vêvê.","Por mim, eu viveria no Príncipe.",Exemplo gramatical,Tradução
Ki me maxi ve ki ki tê.,A minha é mais velha que a sua.,Exemplo gramatical,Tradução
Ade ô!,Não!,Exemplo gramatical,Tradução
Ê na maxi ve!,"É mais velha, sim!",Exemplo gramatical,Tradução
Kaxi me.,Minha casa.,Exemplo gramatical,Tradução
Ki me maxi ve ki ki te.,O meu é mais velho que o seu.,Exemplo gramatical,Tradução
Baji ê maxi gaani pasa Ie.,O Brasil é maior que o Príncipe.,Exemplo gramatical,Tradução
Txi goxta di kumê Baji pasa kumê Ie a?,Você gosta mais da comida brasileira do que da do Príncipe?,Exemplo gramatical,Tradução
Paa Ie ê maxi gaavi dêkê paa Baji.,As praias do Príncipe são mais bonitas do que as praias do Brasil.,Exemplo gramatical,Tradução
N ka kume.,Eu vou comer.,Exemplo gramatical,Tradução
N a kume.,Eu vou comer.,Exemplo gramatical,Tradução
N sa kume.,Eu estou comendo.,Exemplo gramatical,Tradução
N a kume.,Eu estou comendo.,Exemplo gramatical,Tradução
Ningê mutu a goxta di paa Ie.,Gostam muito das praias do Príncipe.,Exemplo gramatical,Tradução
Ningê mutu sa gogo di ki isê ki a tê fa.,Não gostam daquilo que têm.,Exemplo gramatical,Tradução
Ningê mutu sa goxta di paa Ie.,Gostam muito das praias do Príncipe.,Exemplo gramatical,Tradução
Ningê mutu a gogo di ki isê ki a tê fa.,Não gostam daquilo que têm.,Exemplo gramatical,Tradução
Owo mêsê fêzê li xina lung’Ie a?,Vocês querem ensinar lung’Ie para ele?,Exemplo gramatical,Tradução
Mwin me fêzê mi xtuda dya tudu pe.,Minha mãe me faz estudar todos os dias.,Exemplo gramatical,Tradução
"No dôsu mye, omi ?a.",Somos duas mulheres e um homem.,Exemplo gramatical,Tradução
"N mêsê têêxi urumu, fuuta ?a.",Quero três safus e uma fruta-pão.,Exemplo gramatical,Tradução
No ka fêzê modi ningê ki sêbê fala putugêzê fa.,Vamos fazer como se não falássemos português.,Exemplo gramatical,Tradução
Txi fêzê modi ningê supeetu.,Você fez como se fosse esperto.,Exemplo gramatical,Tradução
