"Palavra (Lung'Ie)","Categoria","Traducao PT","Variante","Fonte"
"amanha","Advérbio","amanhã","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"aman-pasa","Advérbio","depois de amanhã","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"aa","Interjeição","ah! ami 1. pro. 1SG.DES; 2. pro. 1SG.OI","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"andorinha","Substantivo","andorinha","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"abili","Substantivo","abril antxi adv. antes","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"abya","Substantivo","rio anu n. ano","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Abya Fiminga","Topónimo","Ribeira Formiga anzu 1. n. anjo; 2. n. bebê; 3. n. criança","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Abya Fooka","Topónimo","Ribeira Forca aranka 1. v. arrancar; 2. v. sair                  A03","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Abya Fyô","Topónimo","Ribeira Fria arê n. rei","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Abya Pipi","Topónimo","Ribeira Pipi ariba n. capim","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Abya San Kô","Topónimo","Ribeira San Kô ariba-kasô n. capim-de-burro","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ade","Advérbio","não arya n. areia","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"asaka","Substantivo","cf. sakaT07","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Afika","Topónimo","África Atlantiku top. Oceano Atlântico","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"atonomya","Substantivo","autonomia","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"agikutwa","Substantivo","agricultura atun n. atum","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"agôxtô","Substantivo","agosto atura n. altura","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"aja vida ki sawidi","Expressão","haja vida                 atxi 1. pro. 2SG.DES; 2. pro. 2SG.OI","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"avyan","Substantivo","avião","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"akara","Substantivo","banana frita cortada em lâminas awa n. água","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"akarê","Substantivo","sapo Awa Namôrô top. Água Namoro","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"akê","Substantivo","pote de barro axi adv. assim","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"akpawa","Substantivo","pargo axtronomiku adj. astronômico","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"alêgia","Substantivo","alegria aza n. asa","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Alifandiga","Topónimo","Alfândega azunu n. asno (Balistes punctatus)T07","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"alikansa","Verbo","alcançar ba loc. estar em algum lugar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"alikasi","Substantivo","acácia baa 1. v. arder; 2. v. brilhar ,","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"almirantxi","Substantivo","almirante baa fefefe expr. brilhar muito","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"alunu","Substantivo","aluno baa ũa adv. de uma só vez","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"beetu wan","Expressão","muito aberto","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"baana","Substantivo","banana","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"bela","Substantivo","berla","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"baana-gamixeli","Substantivo","banana-gromichel","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Bela Vixta","Topónimo","Bela Vista","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"baana-kongô","Substantivo","banana-do-congo","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"bele","Verbo","cortar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"baana-masan","Substantivo","banana-maçã","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Belu Montxi","Topónimo","Belo Monte","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"baana-mye","Substantivo","banana-pão pequenina","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"bensa","Substantivo","bênção","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"baan-paata","Substantivo","banana-prata","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"bensa ô","Expressão","a bênção!","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"baana-umpan","Substantivo","banana-pão","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"bera","Verbo","berrar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Bergonha","Antropónimo","Bergonha","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"baanku fenene","Expressão","muito branco","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"beza","Verbo","beijar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"baasa","Verbo","abraçar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"beza-foli","Substantivo","beija-flor","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"bêzu-bêzu","Substantivo","queixo","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"babudu","Substantivo","barbudo","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"bi","Verbo","empurrar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"baga","Verbo","trocar dinheiro","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"bibi","Substantivo","vagina","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Baji","Topónimo","Brasil","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"biblyoteka","Substantivo","biblioteca","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Balan","Antropónimo","Balão","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"biga","Verbo","brigar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"bamu","Verbo","ir 1PL.IMP","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"bigasan","Substantivo","obrigação","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"banda","Substantivo","banda musical","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"mbigu","Substantivo","umbigo","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"bandya","Substantivo","bandeira","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"banhu","Substantivo","banho","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"bii agama","Verbo","fazer espacate","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"bankêw","Substantivo","banqueiro","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"bii gô","Verbo","começar a chorar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"barwa","Verbo","esconder","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"bii idintxi ngeeeeen","Expressão","ficar muito","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"basa","Verbo","abaixar enraivecidoT10","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"batalha","Verbo","lutar bii mintxya expr. contar mentiras","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"batê","Verbo","bater bii mya expr. escancarar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"batê ubuka","Verbo","coaxar bii redya expr. fugir de um animal","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"batê uman","Verbo","bater palmas bii txyô expr. começar a construir","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"baya","Verbo","dançar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"bii ubaaku","Expressão","cavar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"bayu","Substantivo","dança","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"bayu-nunxya","Substantivo","bayu-nunxya. Tipo de","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"bii xiivisu","Expressão","começar a trabalhar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"bêbê","Verbo","beber biida n. abertura","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Ie-português
bika","Substantivo","bica buka 1. v. buscar; 2. v. procurar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"bulawê","Substantivo","bulawê. Tipo de","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"binzela","Substantivo","berinjela buli v. mexer","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufaka","Topónimo","Bulufaka","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"buluza","Substantivo","blusa","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"bixi","Verbo","vestir bumbu-baanku n. abelha branca","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"bô","Advérbio","bom bumbu-peetu n. abelha preta","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Bôa Xpêransa","Topónimo","Boa Esperança bumbu-wangadu n. bumbu-wangadu.","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"bôbô minu","Expressão","colocar uma criança                      butxikin 1. n. bar; 2. n. botequim","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"butxiza","Verbo","batizar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"bôbô-fiitu","Substantivo","bôbô-fiitu. Doce de banana                 bwêbwê n. bwêbwê. Prato típico elaborado","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"localmente
bodan","Substantivo","cajado                                 A04     denominadas ‘peixinho’","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"boka","Verbo","derramar bwê-bwê n. larvas de peixe","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"bweeba-baata","Substantivo","barba-de-barata","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"bôlô kura","Expressão","esfregar remédio","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"bôlô pwede","Expressão","pintar a parede bweega 1. n. barriga; 2. n. estômago","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Bombon","Topónimo","Bombom bweega-ope n. panturilha","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"bômu","Verbo","cf. bamuN07                                     bweega-uman n. palma da mão","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"byê","Verbo","cozinhar na água","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Bon Vêvê","Topónimo","Bom Viver byogo v. escorregar                                A04","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Bone Joka","Topónimo","Boné de Jóquei byororo ideo. cf. sendê byororoT12","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"bônitu","Substantivo","bonito da v. dar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"da abôtô","Expressão","abortar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"da bofetan","Expressão","bater","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"da fogan","Expressão","cavar buraco para","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"bota","Verbo","sair da fôkôtô 1. expr. espancar; 2. expr. teimar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"bowsa","Substantivo","bolsa de estudos da ka fini expr. dar cambalhota","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"brita","Substantivo","pedra da keba 1. expr. gargalhar; 2. expr. racharT10","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"bubu","Substantivo","baiacu da keletu 1. expr. aprovar;","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Budubudu","Topónimo","Budubudu 2. expr. confirmar; 3. expr. dar certeza","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"da kidarê","Expressão","gritar por socorro dawa n. coco","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"deeja","Verbo","desejar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"da kôkô","Expressão","dar batidas na cabeça","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"dêkê","Preposição","de que","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"da konsê","Expressão","aconselhar demokaatiku adj. democrático","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"da kôôkô","Expressão","gritar dêpôji adv. depois","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"dêputadu","Substantivo","deputado","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"dêsê","Verbo","descer","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"dêsê ôtô","Expressão","conversar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"da mali","Expressão","falar mal","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"desendentxi","Substantivo","descendente","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"da ôzen","Expressão","ajoelhar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"dêsu","Substantivo","Deus","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"da pazuma","Expressão","ficar inerte","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"da pedan","Expressão","perdoar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"dêsu paga","Expressão","obrigado","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"da reva","Expressão","aborrecer","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"dêvê","Verbo","dever","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"da tabwe","Expressão","ser difícil","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"dêxa","Substantivo","dêxa. Tipo de dança tradicional","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"da tapona","Expressão","bater","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"dexi","Numeral","dez","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"da topi","Expressão","tropeçar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"deximu","Numeral","décimo","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"da ubuka","Expressão","conversar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"dezembu","Substantivo","dezembro","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"di","Preposição","de","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"di rêpentê","Expressão","de repente","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"diimi","Verbo","dormir","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"dimingu","Substantivo","domingo","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"da urya","Expressão","ouvir alguém din 1. ideo. cf. ukuru din; 2. ideo. cf. zulu dinT12","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"da vaa","Expressão","chicotear dina 1. conj. já que; 2. prep. desde ,","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"dini","Advérbio","cf. dinixiL09","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"dinixi","Advérbio","então","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"dinora","Advérbio","antigamente","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"da vunga","Expressão","balançar disa 1. v. abandonar; 2. v. deixar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"daka","Verbo","trazer diventxixta adj. adventista","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"divya","Verbo","deveria","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"dixkusu","Substantivo","discurso","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"danadu kotokoto","Expressão","muito estragado","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"dizanovi","Numeral","dezenove","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"dansu-kongô","Substantivo","dansu-kongô. Tipo de","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"dizasetxi","Numeral","dezessete","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Ie-português
dizasêy","Numeral","dezesseis fala bê expr. cumprimentar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"dizawêtu","Numeral","dezoito fala vonvon 1. expr. falar à toa; 2. expr.","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"dô","Substantivo","dor fofocar; 3. expr. mexericar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"doba","Substantivo","dobra. Moeda de STP familya n. família","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"dôdôsu","Numeral","ambos Fanandu Opo 1. top. Bioko;","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"dôsu","Numeral","dois","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"fansêji","Substantivo","francês","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Dôsu Riman","Topónimo","Tinhosas","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"dôtô","Substantivo","médico","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Faxiku","Antropónimo","Francisco","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"dôzê","Numeral","doze","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"fê fora","Expressão","cf. fêzê foraT11","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"duzentu","Numeral","duzentos","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"fê poxta","Expressão","apostar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"dwa","Verbo","doer","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"fê vogyan","Expressão","envergonhar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"febenta","Verbo","aferventar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"dya","Substantivo","dia","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"dya dya","Expressão","com o passar dos dias","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"fedi sônôsônô","Expressão","muito fedido","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"dya-dimingu","Substantivo","domingo","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"fêêw","Substantivo","ferreiro","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"dyalogo","Substantivo","diálogo                            E01","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"dyentxi","Advérbio","diante","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"dyô","Substantivo","dinheiro","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"fêmêra","Substantivo","enfermeira","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"fenza","Substantivo","feijão","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"êê","Interjeição","nossa! fenza-kukundya n. feijão de coco","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"fenza-vêêdê","Substantivo","vagem","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"entê","Preposição","entre Fêrêbrax ant. Ferebraz","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ferya","Substantivo","férias","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"fa","Partícula","partícula de negação fêtu adj. feito","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"fa ô","Partícula","cf. faL02                                 fêvêrêw n. fevereiro","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"faa","Verbo","falar fexta n. festa","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"faa bê","Expressão","cumprimentar fêxtêw n. festeiro","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"falakan","Substantivo","falcão fêzê v. fazer","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
